"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","IDRC赛事系统自动化测试","1","IDRC赛事系统接口测试","1","0","手机验证码发送&校验接口","0"
"0","IDRC赛事系统接口测试","0","接口自动化测试","4","0","apifox文档上的idrc接口","0"
"0","","0","IDRC赛事系统接口测试","4","0","成绩/赛程/上传/验证码接口","0"
"0","","0","Web自动化测试","5","0","Saucedemo平台登录功能","0"
"0","","0","IDRC赛事系统接口测试","1","0","参赛战队详情接口","0"
"0","","0","IDRC赛事系统接口测试","4","0","投票/俱乐部/地址接口","0"
"0","","1","","4","0","","0"
"0","","5","后台系统登录自动化测试","5","0","Excel数据驱动+验证码识别登录","0"
"0","","0","电商平台UI自动化测试","1","0","商品购买流程（登录-筛选-加购-结算取消）","0"
"0","IDRC赛事系统接口测试","0","接口自动化测试post请求","1","0","apifox文档上的idrc接口","0"
"0","SMS verification","1","Phone code","0","1","Send and verify flow","0"
